// 汉语口语速成/入门篇上册/第1课
儿子[兒子]	er2zi5
真[真]	zhen1
售货员[售貨員]	shou4huo4yuan2
经理[經理]	jing1li3
司机[司機]	si1ji1
爷爷[爺爺]	ye2ye5
奶奶[奶奶]	nai3nai5
小叶[小葉]	xiao3ye4
// 汉语口语速成/入门篇上册/第10课
现在[現在]	xian4zai4
点[點]	dian3
刻[刻]	ke4
早饭[早飯]	zao3fan4
半[半]	ban4
时候[時候]	shi2hou5
上课[上課]	shang4//ke4
从[從]	cong2
到[到]	dao4
上午[上午]	shang4wu3
今天[今天]	jin1tian1
月[月]	yue4
号[號]	hao4
日[日]	ri4
星期[星期]	xing1qi1
星期天[星期天]	xing1qi1tian1
星期日[星期日]	Xing1qi1ri4
吧[吧]	ba5
咱们[咱們]	zan2men5
啊[啊]	a5
出发[出發]	chu1fa1
行[行]	xing2
见面[見面]	jian4//mian4
差[差]	cha4
分[分]	fen1
门口[門口]	men2kou3
等[等]	deng3
早上[早上]	zao3shang5
起[起]	qi3
床[床]	chuang2
下课[下課]	xia4//ke4
午饭[午飯]	wu3fan4
晚饭[晚飯]	wan3fan4
年[年]	nian2
大前天[大前天]	da4qian2tian1
前天[前天]	qian2tian1
昨天[昨天]	zuo2tian1
明天[明天]	ming2tian1
后天[後天]	hou4tian1
大后天[大後天]	da4hou4tian1
生日[生日]	sheng1ri4
// 汉语口语速成/入门篇上册/第11课
里边[裡邊]	li3bian5
教学楼[教學樓]	jiao4xue2lou2
办公楼[辦公樓]	ban4gong1lou2
北边[北邊]	bei3bian5
西边[西邊]	xi1bian5
南边[南邊]	nan2bian5
附近[附近]	fu4jin4
饭馆[飯館]	fan4guan3
东边[東邊]	dong1bian1
还[還]	hai2
电影院[電影院]	dian4ying3 yuan4
电影[電影]	dian4ying3
对面[對面]	dui4mian4
药店[藥店]	yao4dian4
旁边[旁邊]	pang2bian1
超市[超市]	chao1shi4
们[們]	men5
照片[照片]	zhao4pian4
左边[左邊]	zuo3bian5
右边[右邊]	you4bian5
中间[中間]	zhong1jian1
后边[後邊]	hou4bian5
桌子[桌子]	zhuo1zi5
上边[上邊]	shang4bian5
台灯[檯燈]	tai2deng1
张[張]	zhang1
男朋友[男朋友]	nan2peng2you5
男[男]	nan2
下边[下邊]	xia4bian5
抽屉[抽屜]	chou1ti5
块[塊]	kuai4
